RecNumber,Label,Fat,Lean,FreeWater,TotalWater,TimeDateDura,Accumulation,Weight,Comments
1,4017,9.02,24.17,0,18.72,2024/08/26,3,32.19,END_TERM
2,4018,6.22,22.54,0.12,17.66,2024/08/26,3,28.41,END_TERM
3,4019,6.79,23.97,0.12,18.04,2024/08/26,3,30.15,END_TERM
4,4020,4.53,24.59,0.14,18.55,2024/08/26,3,28.6,END_TERM
5,4021,6.27,25.64,0,20.66,2024/08/26,3,31.25,END_TERM
6,4022,9.15,25.84,0.27,20.12,2024/08/26,3,34.41,END_TERM
7,7859,5.15,25.21,0,20.02,2024/08/26,3,29.71,END_TERM
8,7858,7.49,22.54,0.02,17.62,2024/08/26,3,29.22,END_TERM
25,4017,7.35,23.79,0.04,18.61,2024/07/02,1,30.4,MID_TERM
26,4018,5.98,21.44,0,16.76,2024/07/02,1,26.7,MID_TERM
27,4019,6.95,24.03,0,18.61,2024/07/02,1,30,MID_TERM
28,4020,3.12,23.44,0,17.93,2024/07/02,1,25.4,MID_TERM
29,4021,3.63,25.03,0.02,19.69,2024/07/02,1,27.6,MID_TERM
30,4022,6.99,26.5,0.19,21.67,2024/07/02,1,32.8,MID_TERM
31,7859,3.99,23.6,0,17.53,2024/07/02,1,26.1,MID_TERM
32,7858,6.37,22.75,0.16,17.03,2024/07/02,1,28.2,MID_TERM
